date,day_of_week,is_weekend,temperature,promotion,online_orders,daily_sales
2026-04-12,4,0,89.8,1,40,2079.14
2027-03-11,1,0,87.5,0,47,1888.65
2026-09-27,4,0,44.4,1,53,1852.94
2026-04-16,1,0,86.4,1,54,2475.82
2026-03-12,1,0,85.1,0,23,1682.62
2027-12-01,0,0,64.7,1,44,1931.94
2026-01-21,6,1,76.9,1,66,2605.77
2027-09-06,5,1,45.9,1,78,3202.76
2026-05-01,2,0,89.9,0,43,1816.2
2027-04-11,4,0,90.2,0,40,2160.65
2026-08-02,4,0,56.7,0,55,1860.98
2026-11-26,1,0,65.4,1,51,1881.98
2027-04-03,3,0,93.7,1,41,2036.74
2026-03-28,3,0,92.0,1,32,1791.86
2027-01-07,1,0,76.9,0,55,1989.66
2026-04-09,1,0,87.2,0,48,1703.98
2027-10-25,5,1,48.2,0,67,2722.37
2026-05-10,4,0,85.1,0,55,2203.26
2027-10-23,3,0,49.5,1,49,2064.91
2026-11-04,0,0,54.8,1,37,1979.06
2026-12-09,0,0,64.3,1,43,1602.83
2027-05-06,1,0,90.0,0,46,2201.4
2027-02-17,0,0,89.9,1,53,2176.65
2027-01-20,0,0,73.5,1,46,1795.27
2026-07-10,2,0,65.5,1,49,1912.73
2026-10-03,3,0,44.2,0,37,1889.99
2026-06-09,6,1,73.1,0,67,2909.22
2027-04-04,4,0,91.8,0,48,1927.62
2026-11-09,5,1,55.3,0,72,2879.6
2026-01-22,0,0,74.7,1,69,2489.57
2026-09-09,0,0,58.0,1,46,1737.25
2027-07-14,0,0,64.9,1,35,1650.76
2027-04-19,5,1,94.1,0,65,2723.19
2026-02-28,2,0,84.4,0,61,2013.82
2027-05-25,6,1,75.4,0,81,2970.28
2027-11-12,2,0,56.7,0,64,2197.03
2027-04-20,6,1,89.2,0,55,2503.71
2027-11-30,6,1,57.8,0,66,2688.86
2026-07-08,0,0,75.4,0,43,2024.54
2027-11-17,0,0,58.8,1,62,2460.92
2027-07-16,2,0,64.8,0,50,1833.67
2027-07-20,6,1,62.3,1,65,2787.81
2026-08-31,5,1,43.5,1,61,2461.14
2027-05-19,0,0,70.2,0,47,1715.77
2026-05-10,4,0,85.1,1,55,2203.26
2027-04-29,1,0,89.3,1,34,1776.52
2027-10-08,2,0,51.2,0,67,2697.92
2026-01-21,6,1,76.9,0,66,2605.77
2026-06-15,5,1,80.5,1,88,2935.05
2026-09-30,0,0,58.5,0,75,2415.36
2027-01-22,2,0,80.8,0,43,1988.33
2027-08-23,5,1,55.3,0,71,2907.58
2026-11-11,0,0,52.1,1,44,2179.9
2026-01-14,6,1,80.9,1,69,2740.22
2026-08-29,3,0,50.7,1,32,1657.99
2026-12-11,2,0,52.6,1,42,1928.16
2027-07-18,4,0,68.3,0,58,2217.83
2026-12-05,3,0,63.9,0,53,1734.98
2026-04-01,0,0,91.5,0,52,1898.93
2027-01-01,2,0,66.7,0,50,1917.32
2027-03-30,6,1,92.3,1,70,2951.93
2027-03-03,0,0,97.9,0,74,2616.23
2027-05-23,4,0,81.0,0,43,2116.03
2026-02-04,6,1,85.5,1,71,2642.54
2026-07-24,2,0,61.1,1,32,1639.19
2026-03-21,3,0,93.9,0,49,1677.11
2027-07-15,1,0,66.6,0,59,2168.94
2027-01-22,2,0,80.8,0,43,1988.33
2026-01-02,1,0,65.6,0,49,1983.96
2027-01-24,4,0,71.8,0,53,2385.8
2027-07-19,5,1,67.2,0,81,3311.61
2026-04-15,0,0,90.3,0,55,2449.35
2027-04-21,0,0,96.1,1,40,1972.52
2027-12-03,2,0,54.6,0,38,1896.66
2027-02-05,2,0,83.8,0,47,2124.6
2027-12-30,1,0,64.0,0,42,1941.58
2027-07-09,2,0,65.6,0,54,1948.38
2026-06-10,0,0,74.0,1,43,1873.49
2026-07-20,5,1,69.8,0,75,2891.95
2026-09-26,3,0,48.0,1,34,1838.87
2026-09-27,4,0,44.4,1,53,1852.94
2027-03-31,0,0,92.8,0,36,2055.51
2027-04-06,6,1,87.8,1,69,2742.21
2027-12-27,5,1,69.9,0,84,3353.09
2026-09-08,6,1,51.2,0,61,2703.74
2027-12-02,1,0,58.2,0,51,2084.67
2026-10-22,1,0,50.5,1,39,1788.97
2027-12-25,3,0,63.1,0,48,1867.97
2027-12-20,5,1,60.7,0,60,2687.38
2026-12-03,1,0,61.7,0,32,1948.5
2026-02-22,3,0,80.1,0,71,2363.26
2026-08-04,6,1,60.4,1,67,2582.91
2026-07-06,5,1,61.8,0,88,3147.23
2027-01-14,1,0,73.0,0,43,2122.52
2027-05-07,2,0,86.5,0,35,1773.84
2026-02-10,5,1,88.0,1,60,2661.9
2026-06-05,2,0,80.0,0,49,2407.12
2026-01-15,0,0,78.0,0,53,2059.95
2026-03-05,1,0,93.3,0,32,1901.74
2027-06-04,2,0,75.2,1,43,2034.18
2026-12-09,0,0,64.3,1,43,1602.83
2026-05-08,2,0,84.3,1,27,1934.55
2027-10-09,3,0,39.6,0,39,2039.47
2027-04-16,2,0,89.3,1,53,1783.23
2026-03-03,6,1,90.3,1,72,2589.85
2026-05-18,5,1,95.0,1,57,2968.16
2027-05-13,1,0,76.6,0,38,1583.79
2027-08-15,4,0,63.9,0,60,2039.05
2027-01-26,6,1,79.8,0,80,3259.39
2027-11-05,2,0,56.1,1,45,1749.02
2027-02-22,5,1,87.1,0,62,2382.23
2026-10-15,1,0,47.3,0,53,2341.19
2027-01-13,0,0,82.9,0,38,2083.95
2027-05-04,6,1,91.9,0,74,3029.34
2026-08-18,6,1,46.4,0,53,2304.04
2026-02-10,5,1,88.0,1,60,2661.9
2026-01-28,6,1,82.0,1,53,2611.65
2026-05-14,1,0,78.7,1,44,2002.52
2026-07-19,4,0,64.8,0,41,1809.34
2026-02-02,4,0,79.3,1,46,2147.65
2026-02-17,5,1,87.3,0,56,2684.79
2027-05-17,5,1,81.9,1,51,2671.05
2027-02-10,0,0,83.7,0,44,1955.51
2027-07-27,6,1,56.2,0,79,3097.68
2027-12-28,6,1,72.7,0,69,2713.11
2026-04-08,0,0,93.8,0,49,1951.42
2027-11-14,4,0,51.5,0,48,2353.43
2027-12-26,4,0,75.4,0,45,1936.38
2027-06-30,0,0,71.6,0,47,1807.08
2027-09-04,3,0,43.2,0,47,1739.73
2027-04-06,6,1,87.8,0,69,2742.21
2027-10-04,5,1,58.3,1,81,3212.3
2026-01-05,4,0,62.1,0,72,2253.22
2026-08-05,0,0,64.1,0,45,1868.81
2027-05-17,5,1,81.9,0,51,2671.05
2027-02-01,5,1,82.7,0,56,2439.53
2027-01-27,0,0,77.5,1,52,2241.51
2026-07-25,3,0,56.8,0,63,2149.08
2026-01-15,0,0,78.0,1,53,2059.95
2027-07-07,0,0,78.1,0,47,1892.95
2027-04-05,5,1,93.5,0,59,2740.8
2027-11-21,4,0,57.6,0,44,1588.27
2027-07-28,0,0,61.3,1,49,2397.75
2026-08-28,2,0,47.0,0,41,1517.82
2027-07-17,3,0,60.4,0,45,1618.74
2026-04-05,4,0,84.7,0,43,1474.53
2027-04-29,1,0,89.3,0,34,1776.52
2027-02-10,0,0,83.7,0,44,1955.51
2026-08-18,6,1,46.4,0,53,2304.04
2027-10-16,3,0,51.7,0,43,1909.09
2026-06-19,2,0,71.1,1,50,2075.03
2027-06-24,1,0,64.4,1,48,1959.56
2026-02-05,0,0,88.4,0,39,1899.28
2027-06-08,6,1,85.7,0,69,3080.73
2026-06-08,5,1,72.4,0,62,2751.79
2027-11-29,5,1,53.9,1,77,2925.01
2026-08-30,4,0,42.2,0,34,1931.08
2026-03-26,1,0,94.3,1,52,2489.3
2027-07-31,3,0,65.5,1,24,1698.23
2027-11-12,2,0,56.7,1,64,2197.03
2027-07-10,3,0,63.0,0,44,1739.34
2027-07-27,6,1,56.2,1,79,3097.68
2027-10-07,1,0,47.4,0,51,1900.76
2026-01-28,6,1,82.0,0,53,2611.65
2027-09-11,3,0,56.5,0,43,1752.97
2027-07-09,2,0,65.6,0,54,1948.38
2026-12-05,3,0,63.9,1,53,1734.98
2026-11-26,1,0,65.4,1,51,1881.98
2027-10-01,2,0,50.6,0,49,2030.28
2027-05-20,1,0,82.0,1,37,1875.18
2026-12-13,4,0,66.6,0,44,1836.09
